Cost_ID,Date,Department,City,Cost_Type,Cost_Amount,Budget_Amount,Employee_ID,Approved_By,Cost_Center_Code,Fiscal_Quarter,Fiscal_Year,Is_Recurring,Notes,Currency
CST000001,2022-08-30,IT,Mansoura,Depreciation,48083.67,5906.16,E0019,MGR15,CC008,Q4,2022,True,,EGP
CST000002,2024-10-10,Finance,Suez,Maintenance,1335.41,53130.35,E0030,MGR11,CC004,Q3,2024,True,Note_56,EGP
CST000003,2021-11-03,IT,Asyut,Salaries,12605.3,34002.55,E0087,MGR17,CC019,Q4,2024,False,,EGP
CST000004,2021-01-23,Operations,Alexandria,Rent,21251.82,8144.99,E0089,MGR18,CC029,Q3,2024,False,Note_21,EGP
CST000005,2024-08-30,Customer Service,Alexandria,Insurance,4707.8,65184.17,E0150,MGR13,CC009,Q4,2024,False,Note_23,EGP
CST000006,2022-06-22,Operations,Aswan,COGS,2205.79,8290.31,E0036,MGR5,CC012,Q3,2023,True,,USD
CST000007,2024-05-21,Customer Service,Aswan,Maintenance,-18475.69,8740.27,E0065,MGR8,CC006,Q2,2022,True,Note_51,EGP
CST000008,2021-08-07,Operations,Mansoura,Rent,4071.1,42961.15,E0001,MGR14,CC030,Q2,2024,True,,EGP
CST000009,2024-01-05,Finance,Giza,Insurance,23833.89,4083.55,E0117,MGR18,CC004,Q3,2022,True,,EGP
CST000010,2023-10-13,Operations,Mansoura,Insurance,628.68,12348.74,E0191,MGR3,CC006,Q4,2024,False,Note_52,EGP
CST000011,2023-08-22,Logistics,Tanta,Salaries,5187.61,3196.47,E0168,MGR3,CC009,Q3,2024,False,Note_63,EUR
CST000012,2023-05-13,Sales,Mansoura,COGS,11723.27,5493.92,E0196,MGR14,CC012,Q1,2024,True,,EGP
CST000013,2023-04-16,Logistics,Port Said,Depreciation,3582.46,12122.48,E0025,MGR13,CC011,Q2,2021,True,,EGP
CST000014,2023-07-22,Sales,Luxor,Rent,39032.69,9947.13,E0123,MGR3,CC004,Q1,2022,True,,EUR
CST000015,2022-07-07,Operations,Suez,Marketing,402.54,9175.73,E0053,MGR6,CC029,Q3,2024,False,,EGP
CST000016,2022-10-11,HR,Asyut,Depreciation,38832.07,15911.05,E0188,MGR20,CC024,Q2,2024,True,,EGP
CST000017,2024-06-10,Logistics,Suez,Marketing,6559.69,13759.22,E0041,MGR2,CC023,Q2,2024,True,,EGP
CST000018,2021-03-10,Marketing,Mansoura,Utilities,72303.6,14371.95,E0181,MGR18,CC002,Q2,2022,True,,EGP
CST000019,2024-07-27,Finance,Mansoura,Salaries,853.15,5304.19,E0128,MGR1,CC001,Q3,2024,True,,USD
CST000020,2022-04-11,HR,Tanta,Depreciation,14070.12,26369.42,E0101,MGR12,CC024,Q3,2023,False,,EUR
CST000021,2022-10-27,Sales,Suez,Utilities,1916.18,39087.08,E0115,MGR10,CC019,Q3,2022,True,,EGP
CST000022,2021-01-19,Sales,Tanta,Marketing,9662.94,11113.07,E0024,MGR20,CC007,Q1,2021,False,,EGP
CST000023,2021-08-25,Operations,Port Said,Rent,10850.93,3655.72,E0026,MGR20,CC026,Q2,2022,False,,EGP
CST000024,2022-12-04,Finance,Cairo,COGS,26127.8,2101.02,E0094,MGR10,CC001,Q3,2024,True,,EGP
CST000025,2022-09-25,Logistics,Port Said,COGS,1838.39,892.44,E0077,MGR7,CC022,Q3,2021,False,,USD
CST000026,2023-03-06,Sales,Cairo,COGS,248.62,10437.01,E0045,MGR7,CC016,Q1,2021,True,Note_34,EGP
CST000027,2023-10-03,Logistics,Port Said,Utilities,3653.53,1908.43,E0026,MGR12,CC006,Q3,2023,True,,EGP
CST000028,2024-05-01,HR,Port Said,Insurance,105256.66,15294.42,E0171,MGR10,CC001,Q2,2022,True,,EGP
CST000029,2023-06-19,Operations,Luxor,Utilities,5892.43,17060.78,E0047,MGR17,CC009,Q2,2022,False,,EGP
CST000030,2021-12-06,Finance,Port Said,Rent,24817.5,48950.81,E0030,MGR9,CC028,Q4,2021,True,,USD
CST000031,2022-09-27,IT,Mansoura,Insurance,5997.32,4545.48,E0005,MGR4,CC026,Q2,2021,True,,EGP
CST000032,2023-09-24,HR,Port Said,Maintenance,5482.9,2145.51,E0145,MGR16,CC006,Q2,2022,True,,EGP
CST000033,2021-03-03,Sales,Port Said,Salaries,9933.05,3324.91,E0157,MGR20,CC020,Q3,2024,False,Note_31,
CST000034,2021-05-31,IT,Aswan,Insurance,1909.85,7701.3,E0196,MGR11,CC023,Q4,2024,False,,EGP
CST000035,2021-10-15,HR,Port Said,COGS,3154.11,2136.26,E0045,MGR4,CC017,Q4,2021,True,Note_11,EGP
CST000036,2024-12-22,Operations,Alexandria,Salaries,2143.59,221093.11,E0074,MGR7,CC001,Q2,2024,False,Note_3,USD
CST000037,2024-12-01,Sales,Alexandria,Utilities,-102021.58,12901.73,E0163,MGR17,CC011,Q4,2021,False,Note_59,EGP
CST000038,2021-04-05,Marketing,Mansoura,Utilities,117484.33,23174.83,E0032,MGR18,CC011,Q2,2023,False,,EGP
CST000039,2021-12-29,Sales,Aswan,Utilities,9639.96,5876.59,E0165,MGR20,CC011,Q1,2022,False,Note_4,EGP
CST000040,2023-06-10,Sales,Giza,Rent,5538.57,7794.01,E0140,MGR5,CC008,Q1,2021,False,,EGP
CST000041,2021-07-03,Logistics,Giza,Marketing,9484.99,30511.1,E0070,MGR19,CC016,Q4,2024,True,,EGP
CST000042,2024-04-03,Finance,Suez,Salaries,9649.15,53080.64,E0106,MGR17,CC015,Q3,2021,True,,EUR
CST000043,2024-01-28,Customer Service,Aswan,Salaries,4052.37,7765.59,E0133,MGR18,CC023,Q3,2021,True,Note_63,EGP
CST000044,2024-04-09,Sales,Alexandria,Maintenance,1392.94,27943.58,E0152,MGR18,CC014,Q1,2021,True,,EUR
CST000045,2022-05-15,Finance,Mansoura,Maintenance,9014.13,125918.8,E0072,MGR17,CC002,Q3,2021,False,Note_34,
CST000046,2023-01-02,IT,Alexandria,Depreciation,37597.97,20282.45,E0051,MGR12,CC018,Q3,2021,True,,EGP
CST000047,2021-09-29,HR,Aswan,Utilities,9136.76,19093.03,E0190,MGR11,CC015,Q2,2024,False,,EGP
CST000048,2024-02-05,IT,Port Said,Maintenance,14334.49,3281.27,E0049,MGR17,CC004,Q2,2023,False,,EGP
CST000049,2021-12-25,Sales,Mansoura,Rent,2640.58,2122.1,E0188,MGR8,CC002,Q3,2022,False,,EUR
CST000050,2021-08-12,Sales,Luxor,Marketing,16022.83,14371.54,E0016,MGR13,CC014,Q1,2022,False,Note_20,EGP
CST000051,2023-01-25,Sales,Port Said,Utilities,11133.71,7647.13,E0147,MGR16,CC021,Q3,2024,True,,EGP
CST000052,2023-09-16,IT,Mansoura,Rent,6974.06,32343.95,E0017,MGR13,CC016,Q3,2022,True,Note_72,EGP
CST000053,2024-07-23,IT,Mansoura,Depreciation,26159.06,5557.47,E0032,MGR8,CC023,Q4,2024,True,Note_13,EGP
CST000054,2023-03-18,Marketing,Mansoura,Rent,15983.97,47855.94,E0184,MGR9,CC015,Q1,2022,False,,EGP
CST000055,2023-11-11,Logistics,Giza,Salaries,3073.29,18150.84,E0007,MGR18,CC010,Q2,2021,True,,EUR
CST000056,2024-06-03,Marketing,Giza,Utilities,7158.04,7538.31,E0149,MGR18,CC024,Q3,2022,False,,EUR
CST000057,2023-10-29,Operations,Tanta,COGS,3384.06,5146.75,E0179,MGR11,CC018,Q2,2021,True,,EGP
CST000058,2024-12-17,Customer Service,Aswan,Utilities,8837.19,8574.55,E0100,MGR9,CC001,Q1,2021,True,,USD
CST000059,2021-05-31,Operations,Giza,Rent,1643.42,24899.04,E0116,MGR5,CC030,Q2,2021,True,,
CST000060,2024-06-02,Logistics,Suez,Insurance,0.0,41627.92,E0175,MGR1,CC030,Q2,2023,True,,EGP
CST000061,2024-09-24,Marketing,Luxor,Rent,56343.67,659.0,E0088,MGR12,CC024,Q1,2024,False,Note_43,EGP
CST000062,2022-02-11,Customer Service,Cairo,COGS,2469.44,3102.02,E0051,MGR15,CC016,Q4,2022,False,,EGP
