Customer_ID,Customer_Name,City,Region,Segment,Credit_Limit,Outstanding_Balance,Payment_Terms_Days,Registration_Date,Account_Status,Tax_ID,Industry,Annual_Revenue_EGP,Contact_Email,Assigned_Rep
C00001,Customer_1,Cairo,South,SME,100000,182587,45,2023-08-23,Active,TAX9946213,Food & Beverage,547475.0,contact0@company0.com,E0068
C00002,Customer_2,Alexandria,Central,Retail,100000,140142,90,2021-10-24,Active,TAX2977858,Food & Beverage,1650686.0,contact1@company1.com,E0088
C00003,Customer_3,Suez,Central,SME,500000,210916,30,2024-09-02,Active,TAX1895405,Education,533699.0,contact2@company2.com,E0184
C00004,Customer_4,Asyut,South,SME,50000,48823,90,2023-11-06,Active,TAX8753402,Education,143786.0,contact3@company3.com,E0182
C00005,Customer_5,Mansoura,North,Retail,250000,66811,45,2022-10-21,Active,TAX3546430,Healthcare,33159166.0,contact4@company4.com,E0005
C00006,Customer_6,Port Said,South,Enterprise,250000,34091,60,2022-04-10,Active,TAX8418856,Retail,523583.0,contact5@company5.com,E0125
C00007,Customer_7,Giza,East,Enterprise,50000,155914,60,2024-09-12,Suspended,TAX6619594,Technology,266844.0,contact6@company6.com,E0109
C00008,Customer_8,Aswan,North,SME,1000000,95792,60,2024-07-17,Active,TAX5948350,Manufacturing,1208267.0,contact7@company7.com,E0070
C00009,Customer_9,Suez,North,Retail,100000,124006,60,2023-11-29,Active,TAX4684439,Education,331553.0,,E0029
C00010,Customer_10,Giza,South,Retail,100000,257898,45,2023-05-31,Active,TAX7562246,Retail,3727209.0,contact9@company9.com,E0166
C00011,Customer_11,Asyut,East,SME,500000,166507,30,2024-02-27,Active,TAX1137421,Technology,400047.0,contact10@company10.com,E0041
C00012,Customer_12,Port Said,South,Enterprise,500000,61082,90,2021-09-29,Active,TAX2008049,Food & Beverage,2231480.0,contact11@company11.com,E0180
C00013,Customer_13,Luxor,South,SME,500000,52913,30,2023-08-15,Active,TAX4856880,Healthcare,472668.0,contact12@company12.com,E0011
C00014,Customer_14,Aswan,East,SME,250000,204236,90,2021-10-14,Inactive,TAX4637231,Retail,2160260.0,contact13@company13.com,E0155
C00015,Customer_15,Cairo,North,Retail,50000,250516,90,2023-12-16,Active,TAX4666568,Healthcare,188609.0,contact14@company14.com,E0026
C00016,Customer_16,Port Said,East,SME,500000,154892,90,2023-06-15,Inactive,TAX6789080,Technology,515230.0,contact15@company15.com,E0185
C00017,Customer_17,Cairo,Central,SME,50000,268935,30,2023-06-01,Active,TAX8639912,Manufacturing,606749.0,contact16@company16.com,E0034
C00018,Customer_18,Mansoura,North,Retail,50000,97493,30,2021-08-30,Active,TAX9150653,Healthcare,3346442.0,contact17@company17.com,E0090
